id,course_code,course_name,department,course_times,instructor,max_enrollment,seats_available,section,crn,last_updated
209,ANTH 0500,Past Forward: Discovering Anthropological Archaeology,ANTH,,Meets: MW 10-10:50a Instructor: J. Rivera Prince This section is full Section #: L01 CRN: 25747 Meets: F 10-10:50a Instructor: Herrera Parra/Rivera Prince Section #: L02 CRN: 25748 Meets: F 11-11:50a Instructor: Clerkley/Rivera Prince VIEW CALENDAR,,,S01,25746,2026-02-06 01:05:13.381395
210,ANTH 0570,The Secrets of Ancient Bones: Discovering Ancient DNA (ARCH 0730),ANTH,,See details,,,Section Number:,,2026-02-06 01:05:27.486523
211,ANTH 1010,Applied Anthropology,ANTH,MWF 12-12:50p,L. DiCarlo,,,"Section Number:
S01",28311,2026-02-06 01:05:38.200068
212,ANTH 1201,Introduction to Geographic Information Systems and Spatial Analysis,ANTH,TTh 9-10:20a,VanValkenburgh/Horseman,24,,"Section Number:
S01",25759,2026-02-06 01:05:48.656508
213,ANTH 1205,"Human Nature: Theories, Narratives, Myths (GNSS 1552)",ANTH,,See details,,,Section Number:,,2026-02-06 01:06:02.019885
214,ANTH 1215,The Anthropology of Aging,ANTH,M 3-5:30p,L. DiCarlo,20,0,"Section Number:
S01",27133,2026-02-06 01:06:12.523090
215,ANTH 1225,Gendering Migration and Diasporas,ANTH,W 3-5:30p,Al-Ali/May,40,6,"Section Number:
S01",25773,2026-02-06 01:06:23.167625
216,ANTH 1328,"The Anthropology of Capitalism: Gender, Race, Kinship",ANTH,T 4-6:30p,Wolff/Seth,40,6,"Section Number:
S01",26635,2026-02-06 01:06:33.440687
217,ANTH 1360,Education as Freedom?: Educational Access and Immigration Activism in the US South (EDUC 1350),ANTH,,See details,,,Section Number:,,2026-02-06 01:06:46.761633
218,ANTH 1550A,Queer Asias(GNSS 1550),ANTH,,See details,,,Section Number:,,2026-02-06 01:06:58.658719
219,ANTH 1555,Environmental Anthropology,ANTH,TTh 9-10:20a,Zhang/Aguirre,34,11,"Section Number:
S01",26649,2026-02-06 01:07:08.476687
220,ANTH 1560,"Environmental Archaeology: Sustainability, Catastrophe, and Resilience",ANTH,TTh 2:30-3:50p,Morell-Hart/Thimmig,24,17,"Section Number:
S01",26083,2026-02-06 01:07:18.606714
